Date,Open,High,Low,Close,Volume,SMA_Short_Best,SMA_Long_Best,Signal_Best,Entry_Price_Best,Stop_Loss_Level_Best,Trailing_Stop_Level_Best,Trailing_Stop_Pct_Best,Position_Best,Daily_PnL_Best,Cumulative_PnL_Best,Capital_Best,Cumulative_Returns_Best,Returns_Best
2014-02-06,1258.0,1267.0,1253.5,1257.5999755859375,274,,,0,,,,,0,0.0,0.0,1000000.0,1.0,0.0
2014-02-07,1258.300048828125,1271.4000244140625,1257.9000244140625,1263.300048828125,436,,,0,,,,,0,0.0,0.0,1000000.0,1.0,0.0
2014-02-10,1269.5999755859375,1277.300048828125,1265.699951171875,1274.800048828125,742,,,0,,,,,0,0.0,0.0,1000000.0,1.0,0.0
2014-02-11,1274.0,1292.0,1273.800048828125,1290.0999755859375,562,,,0,,,,,0,0.0,0.0,1000000.0,1.0,0.0
2014-02-12,1290.5,1296.199951171875,1285.5,1295.300048828125,140,,,0,,,,,0,0.0,0.0,1000000.0,1.0,0.0
2014-02-13,1293.300048828125,1303.5,1287.5,1300.4000244140625,877,,,0,,,,,0,0.0,0.0,1000000.0,1.0,0.0
2014-02-14,1301.699951171875,1320.699951171875,1301.699951171875,1319.0,308,,,0,,,,,0,0.0,0.0,1000000.0,1.0,0.0
2014-02-18,1322.9000244140625,1330.5999755859375,1313.9000244140625,1324.699951171875,373,,,0,,,,,0,0.0,0.0,1000000.0,1.0,0.0
2014-02-19,1318.300048828125,1321.5999755859375,1309.0999755859375,1320.5999755859375,193,,,0,,,,,0,-0.0,0.0,1000000.0,1.0,0.0
2014-02-20,1310.699951171875,1323.5,1309.5999755859375,1317.0999755859375,116,,,0,,,,,0,-0.0,0.0,1000000.0,1.0,0.0
2014-02-21,1320.0,1328.300048828125,1317.4000244140625,1323.9000244140625,171,,,0,,,,,0,0.0,0.0,1000000.0,1.0,0.0
2014-02-24,1324.300048828125,1339.0,1321.4000244140625,1338.300048828125,93,,,0,,,,,0,0.0,0.0,1000000.0,1.0,0.0
